Var1,Freq,pc
wrap,53,0
ahbasic,52,0
bakkerbart,52,0
ballpoint,52,0
bar le duc,52,0
begraafplaats,52,0
binder,52,0
button,52,0
canclip,52,0
duck tape,52,0
energie drink,52,0
flowerpot,52,0
g’woon,52,0
gendringen,52,0
hertog,52,0
ijsstokje,52,0
lolli,52,0
plastic fork,52,0
plastick spoon,52,0
powder,52,0
publicservice,52,0
sportdrank,52,0
voetzoeker,52,0
wipetissue,52,0
bike part,51,0
feather,51,0
inbrenghuls,51,0
nibbit,51,0
swizzle stick,51,0
zywiec,51,0
madbom,51,0
blisterpack,50,0
cake,50,0
chipszak,50,0
fernandez,50,0
gebroken,50,0
m&ms,50,0
parkeerticket,50,0
parliament,50,0
pepermunt,50,0
polyester,50,0
q8,50,0
toffeewrap,50,0
between,49,0
cdcover,49,0
chaufontaine,49,0
dt5,49,0
hairclip,49,0
jawbreakers,49,0
lolly stick,49,0
plastic wrapper,49,0
rioba,49,0
royal club,49,0
schredded,49,0
valkenier,49,0
vitamin water,49,0
plastic verpakking sigaretten,49,0
redbullstimuleertlichaamengeest,49,0
worldcleanupday,49,0
calve,48,0
cans,48,0
